Rank,Player Name,Position,Team,Bye Week,Best Rank,Worst Rank,Avg Rank,ADP,selected
1,Le'Veon Bell,RB1,PIT,11,1,14,2.75,1,NO
2,Jamaal Charles,RB3,KC,9,1,13,4.19,4,YES
3,Eddie Lacy,RB4,GB,7,2,18,6.36,5,YES
4,Adrian Peterson,RB2,MIN,5,1,14,3.86,2,YES
5,Rob Gronkowski,TE1,NE,4,3,17,8.89,11,MINE
6,Marshawn Lynch,RB5,SEA,9,2,25,12.08,8,YES
7,Julio Jones,WR2,ATL,10,2,21,7.86,9,YES
8,Dez Bryant,WR4,DAL,6,5,16,9.33,6,NO
9,Antonio Brown,WR1,PIT,11,1,10,4.56,3,NO
10,Demaryius Thomas,WR3,DEN,7,4,20,8.81,10,YES
11,C.J. Anderson,RB7,DEN,7,1,25,12.81,12,YES
12,Odell Beckham Jr.,WR5,NYG,11,2,25,10.97,7,YES
13,DeMarco Murray,RB10,PHI,8,3,39,19.61,18,NO
14,Calvin Johnson,WR6,DET,9,4,23,13.36,14,YES
15,Matt Forte,RB6,CHI,7,1,32,12.39,13,NO
16,Jeremy Hill,RB11,CIN,7,3,38,21.56,19,NO
17,Jordy Nelson,WR8,GB,7,10,22,16.25,17,NO
18,A.J. Green,WR7,CIN,7,7,21,14.69,20,NO
19,Alshon Jeffery,WR10,CHI,7,12,38,21.39,24,NO
20,Mike Evans,WR11,TB,6,12,35,24.11,25,NO
21,Lamar Miller,RB12,MIA,5,5,82,27.58,30,NO
22,LeSean McCoy,RB9,BUF,8,1,36,19.25,15,YES
23,Justin Forsett,RB8,BAL,9,8,42,19.08,23,YES
24,Ty Hilton,WR12,IND,10,18,47,27.5,26,YES
25,Randall Cobb,WR9,GB,7,4,40,20.25,21,YES
26,DeAndre Hopkins,WR13,HOU,9,5,51,28,31,YES
27,Andrew Luck,QB1,IND,10,17,41,28.44,16,YES
28,Aaron Rodgers,QB2,GB,7,23,44,29.28,22,YES
29,Frank Gore,RB13,IND,10,12,49,30.78,29,NO
30,Melvin Gordon,RB17,SD,10,25,61,40.33,28,NO
31,Mark Ingram,RB14,NO,11,19,60,35.22,34,YES
32,C.J. Spiller,RB16,NO,11,12,80,38.56,38,NO
33,Jimmy Graham,TE2,SEA,9,27,67,43.67,27,NO
34,Jordan Matthews,WR16,PHI,8,23,64,40,36,NO
35,Brandin Cooks,WR14,NO,11,17,50,32.75,33,NO
36,Jonathan Stewart,RB19,CAR,5,24,94,44.72,47,NO
39,Brandon Marshall,WR22,NYJ,5,35,66,51.44,59,NO
38,Andre Johnson,WR19,IND,10,21,76,42.22,45,NO
40,Emmanuel Sanders,WR15,DEN,7,22,78,36.5,32,NO
37,Alfred Morris,RB18,WAS,8,26,58,41.75,37,NO
41,Joseph Randle,RB23,DAL,6,31,108,53.94,44,YES
43,DeSean Jackson,WR29,WAS,8,46,149,68.69,64,NO
44,Kelvin Benjamin,WR17,CAR,5,22,79,41.11,35,MINE
45,Keenan Allen,WR20,SD,10,24,96,44.47,50,NO
46,T.J. Yeldon,RB21,JAC,8,32,88,53,48,NO
42,Todd Gurley,RB26,STL,6,32,121,67.69,42,NO
47,Allen Robinson,WR25,JAC,8,29,85,56.8,66,NO
48,Ameer Abdullah,RB25,DET,9,4,103,52.26,55,NO
49,Travis Kelce,TE3,KC,9,27,67,54.97,51,NO
50,Andre Ellington,RB15,ARI,9,18,82,37.83,39,NO
51,Golden Tate,WR21,DET,9,24,77,50.28,49,YES
58,Jarvis Landry,WR26,MIA,5,37,123,61.72,57,NO
52,Russell Wilson,QB3,SEA,9,36,83,51.5,56,YES
53,Jeremy Maclin,WR24,KC,9,40,77,58.42,65,NO
55,Latavius Murray,RB20,OAK,6,35,92,47,40,NO
54,Carlos Hyde,RB22,SF,10,19,92,53.17,41,NO
56,Sammy Watkins,WR27,BUF,8,48,152,63.25,54,YES
57,Amari Cooper,WR23,OAK,6,26,122,52.63,46,NO
59,Christopher Ivory,RB30,NYJ,5,38,110,81.26,81,YES
60,Mike Wallace,WR37,MIN,5,49,167,89.69,77,NO
62,Rashad Jennings,RB29,NYG,11,43,125,83.19,70,NO
63,Tevin Coleman,RB34,ATL,10,38,119,89.5,72,NO
64,LeGarrette Blount,RB27,NE,4,37,101,70.97,76,NO
65,Vincent Jackson,WR30,TB,6,41,150,69.39,71,NO
61,Julian Edelman,WR18,NE,4,24,63,42.11,43,NO
66,Peyton Manning,QB4,DEN,7,37,107,54.31,53,NO
67,Martellus Bennett,TE5,CHI,7,33,99,70.64,68,NO
68,Martavis Bryant,WR35,PIT,11,51,158,81.8,62,NO
70,John Brown,WR43,ARI,9,43,195,103.11,105,NO
71,Shane Vereen,RB28,NYG,11,36,121,78.17,73,NO
73,Joique Bell,RB31,DET,9,46,137,84.78,67,NO
74,Eric Decker,WR32,NYJ,5,54,153,77.39,98,NO
75,Nelson Agholor,WR38,PHI,8,50,161,88.06,78,NO
76,Doug Martin,RB32,TB,6,43,128,82.8,69,MINE
77,Jordan Cameron,TE7,MIA,5,56,118,92.77,94,NO
78,Ben Roethlisberger,QB6,PIT,11,30,90,61,61,NO
80,Anquan Boldin,WR34,SF,10,51,154,79.8,104,NO
81,Larry Fitzgerald,WR31,ARI,9,47,126,76.67,96,NO
82,Steve Smith,WR33,BAL,9,44,153,79.11,102,NO
83,Brandon LaFell,WR36,NE,4,55,151,82.6,92,NO
84,Charles Johnson,WR39,MIN,5,51,175,92.68,83,NO
69,Greg Olsen,TE4,CAR,5,27,101,56.11,63,NO
86,Drew Brees,QB5,NO,11,45,90,57.09,60,NO
87,Kendall Wright,WR40,TEN,4,51,148,96.77,113,NO
85,Roddy White,WR28,ATL,10,46,128,67.86,79,NO
145,Darren McFadden,RB49,DAL,6,103,187,140.87,114,NO
88,Ryan Mathews,RB42,PHI,8,80,165,117.74,103,NO
89,Isaiah Crowell,RB35,CLE,11,65,150,94.51,80,NO
